0,"bmwk, maritime, wirtschaft, publikationen, redaktion, fachgespräch, gästen, nabu, technologieführerschaft, maritimen"
1,"agenda, nahen, reedereien, aktivitäten, osten, hitze, lehrkräfte, umweltverträgliches, marine, kampf"
2,"klima, follower, innen, erneuerung, international, clean, partner, afrika, bundesrat, wirtschaftlichen"
3,"duckdalben, globale, bmdv, klimaschutz, produkte, stepstone, ocean, technologiebereiche, hochrangigen, zentrale"
4,"technologien, schiffbau, esg, 10, grundlegendes, bundesregierung, jahr, karriere, nachhaltigkeit, schlüsselrolle"
