Keyword,Trend-Wachstum
dmz,24.0
maritime,20.0
zentrum,19.0
deutsches,15.0
maritimes,15.0
handlungsfelder,8.5
branche,8.0
maritimen,5.0
e.v.,5.0
deutsche,4.0
deutschland,3.0
team,3.0
e,3.0
mail,3.0
at,3.0
wirtschaft,3.0
feb,2.0
maritim.de.,2.0
