Keyword,Trend-Wachstum
hamburger,12.0
hafen,12.0
beteiligung,11.0
china,10.0
cosco,10.0
deutschland,8.0
chinesischen,3.0
einstieg,3.0
oct,2.0
may,2.0
3,2.0
