Keyword,Trend-Wachstum
zentrum,35.0
dmz,27.0
deutsches,24.0
maritimes,23.0
maritime,13.0
deutsche,10.0
e.v.,9.0
branche,8.0
hamburg,6.0
deutschen,5.0
maritimen,5.0
dr.,4.0
neuen,2.0
