Keyword,Trend-Wachstum
minister,15.0
federal,13.0
digital,13.0
wissing,12.333333333333334
volker,12.0
dr,6.0
transport,5.0
germany,3.0
november,2.0
dr.,2.0
itf,2.0
summit,2.0
x,2.0
