Keyword,Trend-Wachstum
wirtschaft,19.0
maritime,14.5
klimawandel,13.0
nachhaltigkeit,12.0
nachhaltige,8.0
klima,6.0
branche,5.0
industrie,5.0
klimaschutz,4.0
maritimen,4.0
zentrum,2.0
umwelt,2.0
energiewende,2.0
innovationen,2.0
