Keyword,Trend-Wachstum
maritime,32.0
fachkräftemangel,20.0
wirtschaft,15.0
deutschland,12.0
maritimen,10.0
deutsche,8.0
branche,7.0
industrie,3.0
offshore,3.0
unternehmen,2.0
windenergie,2.0
