Keyword,Trend-Wachstum
elon,42.0
musk,21.0
tesla,19.0
spacex,5.0
company,5.0
ceo,5.0
business,4.0
inc.,3.0
electric,2.0
space,2.0
future,2.0
news,2.0
new,2.0
