Keyword,Trend-Wachstum
ki,19.0
methoden,11.0
maritime,8.0
deutsche,6.0
deutschland,6.0
maritimen,5.0
intelligenz,4.0
behörden,4.0
wirtschaft,3.0
sicherheit,3.0
deutschen,2.0
behörde,2.0
deutschlands,2.0
