Keyword,Trend-Wachstum
deutschen,33.0
hafen,14.0
häfen,8.0
mar,5.0
deutschland,5.0
rostock,5.0
port,5.0
größten,4.0
prozent,4.0
hamburg,3.0
ostseehäfen,3.0
tonnen,3.0
entwicklung,3.0
seehafen,2.6666666666666665
deutschlands,2.0
güterumschlag,2.0
umschlag,2.0
wilhelmshaven,2.0
jahr,2.0
german,2.0
20,2.0
güter,2.0
übersetzung,2.0
