Keyword,Trend-Wachstum
schneider,10.666666666666666
cdu,10.0
bundestag,10.0
ago,8.0
days,7.0
parlamentarischer,6.0
geschäftsführer,5.0
cdu/csu,5.0
rheinland,5.0
pfalz,5.0
verkehrsminister,5.0
2,4.0
neuer,3.0
obituary,2.0
parliamentary,2.0
committee,2.0
jun,2.0
bitburg,2.0
bundestagsfraktion,2.0
bundesverkehrsminister,2.0
mar,2.0
