Keyword,Trend-Wachstum
zwilling,19.0
digitalen,14.0
digitaler,10.0
digital,7.0
software,5.0
maritime,4.0
schiffbau,3.0
zukunft,3.0
technologien,3.0
autonome,3.0
fraunhofer,3.0
zwillings,2.0
digitalisierung,2.0
logistik,2.0
twin,2.0
virtuelle,2.0
industrie,2.0
entwicklung,2.0
apr,2.0
offshore,2.0
simulation,2.0
digitales,2.0
