Keyword,Trend-Wachstum
security,39.333333333333336
global,10.0
sea,9.0
management,8.0
risk,7.0
safety,7.0
piracy,6.0
eu,5.0
european,5.0
cooperation,4.0
national,3.0
center,2.0
secure,2.0
naval,2.0
regional,2.0
law,2.0
protection,2.0
german,2.0
ship,2.0
vessels,2.0
