Keyword,Trend-Wachstum
alternative,23.0
schifffahrt,21.0
kraftstoffe,15.0
treibstoffe,12.0
methanol,3.0
lng,3.0
wasserstoff,3.0
alternativen,2.0
dekarbonisierung,2.0
