Keyword,Trend-Wachstum
maritime,15.0
nachwuchssicherung,10.0
wirtschaft,7.0
branche,6.0
demografie,5.0
deutsche,5.0
maritimes,3.0
zentrum,3.0
deutschland,3.0
industrie,3.0
deutschen,3.0
deutsches,2.0
e.v.,2.0
31,2.0
bahn,2.0
geschäftsbericht,2.0
