Keyword,Trend-Wachstum
wirtschaft,33.0
nachhaltige,15.0
klima,13.0
industrie,8.0
klimaschutz,7.0
umwelt,7.0
deutsche,6.0
nachhaltig,6.0
maritimen,5.0
zentrum,4.0
unternehmen,4.0
maritimes,3.0
energie,3.0
startseite,3.0
e.v.,2.0
mar,2.0
bundesregierung,2.0
deutscher,2.0
1,2.0
blue,2.0
economy,2.0
bundesverband,2.0
themen,2.0
dieter,2.0
bank,2.0
